bairro,domicilios_atendidos,domicilios_nao_atendidos,percentual_atendido
RONALDO CUNHA LIMA,31,178,"14,83"
TROPEIROS DA BORBOREMA,6,16,"27,27"
JARDIM ITARARÉ,292,515,"36,18"
JARDIM TAVARES,1167,634,"64,8"
DISTRITO INDUSTRIAL,738,390,"65,43"
NOVO BODOCONGÓ,1185,502,"70,24"
CATIRINA,354,140,"71,66"
ARAXÁ,588,228,"72,06"
LAGOA DE DENTRO,304,108,"73,79"
UNIVERSITÁRIO,909,310,"74,57"
SANTA TEREZINHA,321,103,"75,71"
NAÇÕES,508,149,"77,32"
JARDIM CONTINENTAL,735,130,"84,97"
VELAME,1032,156,"86,87"
CIDADES,2517,341,"88,07"
CUITÉS,1030,122,"89,41"
SERROTÃO,8729,971,"89,99"
NOVA BRASÍLIA,3516,385,"90,13"
CASTELO BRANCO,1107,101,"91,64"
SÃO JANUÁRIO,1134,60,"94,97"
VILA CABRAL,1986,87,"95,8"
QUARENTA,2624,108,"96,05"
MONTE CASTELO,2773,78,"97,26"
JARDIM PAULISTANO,3302,77,"97,72"
SANDRA CAVALCANTE,2947,68,"97,74"
TAMBOR,2468,53,"97,9"
ACÁCIO FIGUEIREDO,1848,39,"97,93"
TRÊS IRMÃS,13992,291,"97,96"
ITARARÉ,1663,34,98
MALVINAS,10550,211,"98,04"
SANTA CRUZ,3701,73,"98,07"
ALTO BRANCO,3518,42,"98,82"
CONJUNTO DOS PROFESSORES,1599,14,"99,13"
DINAMÉRICA,2219,17,"99,24"
ALUÍZIO CAMPOS,4599,26,"99,44"
LAURITZEN,1170,6,"99,49"
JOSÉ PINHEIRO,5251,14,"99,73"
CRUZEIRO,6658,15,"99,78"
BODOCONGÓ,6498,7,"99,89"
SANTA ROSA,4248,4,"99,91"
BENTO FIGUEIREDO,293,0,100
LOUZEIRO,530,0,100
JARDIM QUARENTA,708,0,100
MIRANTE,962,0,100
CONCEIÇÃO,1235,0,100
ESTAÇÃO VELHA,1246,0,100
SANTO ANTÔNIO,1425,0,100
RAMADINHA,1477,0,100
PRATA,1514,0,100
PALMEIRA IMPERIAL,1744,0,100
SÃO JOSÉ,1840,0,100
PALMEIRA,2150,0,100
MONTE SANTO,2561,0,100
CENTENÁRIO,2647,0,100
PEDREGAL,2703,0,100
BELA VISTA,3124,0,100
PRESIDENTE MÉDICE,3341,0,100
JEREMIAS,3505,0,100
CENTRO,5249,0,100
LIBERDADE,5990,0,100
CATOLÉ,9479,0,100
